Title,BonusCode,Category,Region,Address,City,State,GPS,Filename
9-11 Memorial - We Will Never Forget,911569,9/11,,201 N 2nd St,Palatka,FL,"29.647608, -81.629555",911569.jpg
9-11 Memorial,911570,9/11,,1051 N Houston St,Bullard,TX,"32.149959, -95.328879",911570.jpg
9-11 Memorial,911571,9/11,,"2860 Palm Coast Pkwy NW, Palm Coast, FL 32137",Palm Coast,FL,"29.553620, -81.241478",911571.jpg
9-11 Memorial,911572,9/11,,5001 Bollinger Canyon Rd,San Ramon,CA,"37.758754, -121.968445",911572.jpg
9-11 Memorial,911573,9/11,,201 E South St,Monticello,IA,"42.232522, -91.187504",911573.jpg
9-11 Memorial,911574,9/11,,11655 NW Gainesville Rd,Ocala,FL,"29.320677, -82.194756",911574.jpg
9-11 Memorial,911575,9/11,,NE 1st St and NE State Rd 24,Gainesville,FL,"29.652340, -82.323386",911575.jpg
9-11 Memorial Bench,911576,9/11,,3000 NW 83 St,Gainesville,FL,"29.679712, -82.432752",911576.jpg
9-11 Memorial,911577,9/11,,205 NW 1st Ave,High Springs,FL,"29.827871, -82.599221",911577.jpg
9-11 Memorial,911578,9/11,,23287 Sierra Hwy,Santa Clarita - Newhall*,CA,"34.362622, -118.507946",911578.jpg
9-11 Memorial - In Memory of Patriots Day,911579,9/11,,316 S Morgan St,Roxboro,NC,"36.395225, -78.992550",911579.jpg
9-11 Memorial - Global War on Terrorism,911580,9/11,,2025 S Collegiate Dr,Paris,TX,"33.639689, -95.523475",911580.jpg
9-11 Memorial - Twin Towers Memorial Park,911581,9/11,,8100 Block Camelback Rd,Pleasant Hill,CA,"37.979017, -122.071445",911581.jpg
9-11 Memorial,911582,9/11,,603 Marina Vista Ave,Martinez,CA,"38.019239, -122.137922",911582.jpg
9-11 Memorial,911583,9/11,,1 Main St,Rio Vista,CA,"38.155117, -121.690096",911583.jpg
* 9-11 Whale Sculptures,911584,9/11,,2546 Centerville,Tallahassee,FL,"30.484973, -84.229616",911584.jpg
9-11 Memorial,911585,9/11,,2510 E Silver Springs Blvd,Ocala,FL,"29.186522, -82.101538",911585.jpg
9-11 Memorial,911586,9/11,,7400 SW 41 Place,Gainesville,FL,"29.617317,-82.420308",911586.jpg
* 9-11 Memorial,911587,9/11,,Old Church Road,Hibernia - Flemming Island,FL,"30.067447, -81.696214",911587.jpg
157807 - TH-1 - Navy,H870,Hueys,,USS Ranger St and USS Yorktown St,NAS Whiting Field* - Point Bak,FL,"30.709545, -87.020793",H870.jpg
Greensboro K9,K9339,War Dogs,,100 E Police Plaza,Greensboro,NC,"36.069180, -79.793062",K9339.jpg
